Year,State,stateid,statepop,"Residents in State, County, and City Mental Hospitals",Resident all Mental Institutions,All Patients (Resident and on Parole) in All Mental Institutions,Homicide Count,Prisoners,Jailpop,Executions,Real Per Cap Income,Age Percent 15 to 19,Age Percent 20 to 24,Nonwhite,r_black,r_urban
1925,NC,34,2895000,4519,4519,5544,260,1490,623.199999999997,,,,,,,
1925,ND,35,643000,1337,1337,1408,13,304,89.1999999999998,,,,,,,
1925,OH,36,6434000,13401,13401,15071,502,5398,1611.79999999999,,,,,,,
1925,OK,37,2216000,3286,3286,3500,,2513,293.199999999997,,,,,,,
1925,OR,38,883000,2628,2628,2911,35,478,206.400000000001,,,,,,,
1925,PA,39,9478000,11955,11955,12894,570,3960,3676.40000000002,,,,,,,
1925,RI,40,680000,1673,1673,2067,12,315,186.2,,,,,,,
1925,SC,41,1718000,2533,2533,2778,217,528,765.400000000001,,,,,,,
1925,SD,42,682000,1300,1300,1306,,445,67.3999999999996,,,,,,,
1925,TN,43,2531000,2940,2940,2960,424,1916,648.599999999977,,,,,,,
1925,TX,44,5332000,6825,6825,7655,,3396,462.600000000006,,,,,,,
1925,UT,45,487000,763,763,763,28,206,66.8000000000002,,,,,,,
1925,VT,46,355000,829,829,842,2,346,46.1999999999998,,,,,,,
1925,VA,47,2423000,5503,5503,6777,248,1920,825.200000000012,,,,,,,
1925,WA,48,1494000,4025,4025,4481,83,1504,346.8,,,,,,,
1925,WV,49,1593000,2302,2302,3747,198,1768,416.600000000006,,,,,,,
1925,WI,50,2863000,1715,1715,2810,63,1356,649.200000000012,,,,,,,
1925,WY,51,216000,358,358,376,24,282,28,,,,,,,
1926,AL,1,2567000,3237,3237,3745,508,,654,0,,,,,,
1926,AK,2,,,,,,,,,,,,,,
1926,AZ,3,403000,684,684,772,63,444,56.1999999999998,1,,,,,,
1926,AR,4,1826000,2549,2549,3326,,1231,185.799999999999,10,,,,,,
1926,CA,5,4929000,12782,12782,14252,373,5794,1959.79999999999,8,,,,,,
1926,CO,6,1016000,2324,2324,2608,70,1129,193.9,2,,,,,,
1926,CT,7,1531000,4829,4829,5200,44,920,354,1,,,,,,
1926,DE,8,225000,575,575,629,20,,207.300000000003,0,,,,,,
1926,FL,10,1368000,2584,2584,2683,658,1910,378.699999999997,0,,,,,,
1926,GA,11,2869000,4848,4848,5494,,2945,2002.2,0,,,,,,
1926,HI,12,,,,,,,,,,,,,,
1926,ID,13,441000,617,617,812,15,382,118.699999999997,0,,,,,,
1926,IL,14,7395000,20690,20690,21560,751,6038,2158.29999999999,0,,,,,,
1926,IN,15,3148000,6473,6473,6799,181,3789,544.5,3,,,,,,
1926,IA,16,2432000,5351,5351,6137,57,2044,278,0,,,,,,
1926,KS,17,1836000,3698,3698,4261,103,2675,200.799999999999,0,,,,,,
1926,KY,18,2545000,4831,4831,5365,366,2248,504.300000000003,5,,,,,,
1926,LA,19,2005000,3458,3458,3523,403,1686,465.199999999997,0,,,,,,
1926,ME,20,793000,1918,1918,2020,9,399,189.300000000003,0,,,,,,
1926,MD,21,1576000,3660,3660,3741,108,1921,731.899999999994,2,,,,,,
1926,MA,22,4194000,16826,16826,18912,84,1923,1827.3,1,,,,,,
1926,MI,23,4451000,7765,7765,8702,461,5168,1267,0,,,,,,
1926,MN,24,2560000,7259,7259,8292,56,2240,705.699999999997,0,,,,,,
1926,MS,25,1935000,2854,2854,3358,459,1563,277.099999999999,0,,,,,,
1926,MO,26,3556000,5800,5800,6075,405,3442,678.199999999997,0,,,,,,
1926,MT,27,531000,1460,1460,1500,45,437,90.7999999999993,0,,,,,,
1926,NE,28,1353000,3255,3255,3801,36,1000,203.300000000003,0,,,,,,
1926,NV,29,87000,221,221,226,,232,47.8999999999996,1,,,,,,
1926,NH,30,463000,1560,1560,1701,4,133,125.5,0,,,,,,
1926,NJ,31,3758000,5850,5850,6332,166,2383,959.200000000012,1,,,,,,
1926,NM,32,403000,509,509,571,,358,27.8000000000002,0,,,,,,
1926,NY,33,11257000,43538,43538,46881,546,7367,5384.30000000005,14,,,,,,
1926,NC,34,2959000,4665,4665,5358,287,1478,588.800000000003,0,,,,,,
1926,ND,35,651000,1400,1400,1483,12,309,86.8000000000002,0,,,,,,
1926,OH,36,6504000,13844,13844,15602,546,6209,1715.70000000001,7,,,,,,
1926,OK,37,2256000,3566,3566,3808,,2677,360.800000000003,0,,,,,,
